site_id,season,horizon_bin,n,rmse,mae,rmse_skill_vs_persistence,mae_skill_vs_persistence
1,winter,0-6,2160,2.253762242755851,1.644669213732144,0.4761868313420755,0.4602787062706349
1,winter,6-12,2160,3.2651471349715013,2.5001101501206264,0.5017814867614729,0.4954527892119722
1,winter,12-18,2160,3.604871298075932,2.8140130708155797,0.4636932551721118,0.47999153069959
1,winter,18-24,2160,3.7418934390131335,2.9314190224380043,0.1481642636269436,0.1378744018757518
1,spring,0-6,13110,2.2951955347372417,1.6109290542972183,0.5494821795548663,0.5478677147634745
1,spring,6-12,13110,3.507182570011901,2.6844911246047256,0.6163756514830663,0.6490107025486662
1,spring,12-18,13110,3.8284403661254207,2.9536268316503063,0.5714760190292623,0.6040631957443523
1,spring,18-24,13110,3.923239836345358,3.039717427772256,0.2925722522142988,0.2841714554885614
1,summer,0-6,5808,1.877325721869504,1.3206104786486748,0.726200662430931,0.7399545735456099
1,summer,6-12,5808,2.6868454973197258,2.0048959832818096,0.7913235371332454,0.8244805123542753
1,summer,12-18,5808,2.797437475468799,2.1026023486090346,0.7761048928801866,0.8120117453514616
1,summer,18-24,5808,2.8296859622996204,2.1172033255924947,0.5687367632807874,0.5657862584483613
1,fall,0-6,2184,1.9328843062577536,1.3850098844465584,0.6198991517477226,0.6192127982487239
1,fall,6-12,2184,2.7785348149988014,2.0697112631101984,0.6958663728322456,0.721112341093382
1,fall,12-18,2184,3.030934334967096,2.269344370032344,0.6699643545869443,0.714335590216849
1,fall,18-24,2184,3.2563270339144643,2.500736860293471,0.4114737098339314,0.4068631040385516
2,winter,0-6,2077,6.484367742817107,3.8144745147523826,0.32191156730506654,0.3175265568502307
2,winter,6-12,2077,7.1974495360968564,5.031816063959512,0.4191731073531114,0.400732362720972
2,winter,12-18,2077,7.559200153785643,5.315632062754739,0.4026966055429959,0.4156989386637161
2,winter,18-24,2077,7.265509150657879,4.949225916740649,0.17451814483043482,0.14428659545103462
2,spring,0-6,11577,6.802268769115429,4.776860063769605,0.2983301963917274,0.2587293790094841
2,spring,6-12,11423,7.966208445982888,6.085498302967559,0.46222080139888566,0.4973617333329845
2,spring,12-18,11424,7.961065139475771,6.118411307742607,0.45016658656956976,0.48267962781873297
2,spring,18-24,11534,7.763106401518404,5.688031222978589,0.21132361979057157,0.19471345297029108
2,summer,0-6,4977,5.951272527505693,4.317884743249581,0.29141067643152707,0.32207367707784196
2,summer,6-12,4913,6.293974976361313,4.882878783422261,0.46020693237822397,0.49127075953752575
2,summer,12-18,4925,6.238338907322548,4.924286265929943,0.45790773907997584,0.4852287944849394
2,summer,18-24,4974,6.066500044812561,4.621380726544311,0.2986998300761827,0.29840672903545973
2,fall,0-6,1954,6.769731915305225,4.745917079587988,0.31500562687683553,0.29988333498995756
2,fall,6-12,1939,7.1577040707220325,5.347450676941384,0.48565234903553445,0.5026149850185646
2,fall,12-18,1938,7.500402423386102,5.672462655295751,0.4610891494684627,0.4876389678036199
2,fall,18-24,1950,6.967432016016475,5.249770339226876,0.28171810716171763,0.26645281588677583
