target_variable,site_id,season,horizon_bin,n,rmse,mae,rmse_skill_vs_persistence,mae_skill_vs_persistence
air_temperature,1,fall,0-6,2184,1.9328843062577536,1.3850098844465584,0.6198991517477226,0.6192127982487239
air_temperature,1,fall,12-18,2184,3.030934334967096,2.269344370032344,0.6699643545869443,0.714335590216849
air_temperature,1,fall,18-24,2184,3.2563270339144643,2.500736860293471,0.4114737098339314,0.4068631040385516
air_temperature,1,fall,6-12,2184,2.7785348149988014,2.0697112631101984,0.6958663728322456,0.721112341093382
air_temperature,1,spring,0-6,13110,2.2951955347372417,1.6109290542972183,0.5494821795548663,0.5478677147634745
air_temperature,1,spring,12-18,13110,3.8284403661254207,2.9536268316503063,0.5714760190292623,0.6040631957443523
air_temperature,1,spring,18-24,13110,3.923239836345358,3.039717427772256,0.2925722522142988,0.2841714554885614
air_temperature,1,spring,6-12,13110,3.507182570011901,2.6844911246047256,0.6163756514830663,0.6490107025486662
air_temperature,1,summer,0-6,5808,1.877325721869504,1.3206104786486748,0.726200662430931,0.7399545735456099
air_temperature,1,summer,12-18,5808,2.797437475468799,2.1026023486090346,0.7761048928801866,0.8120117453514616
air_temperature,1,summer,18-24,5808,2.8296859622996204,2.1172033255924947,0.5687367632807874,0.5657862584483613
air_temperature,1,summer,6-12,5808,2.6868454973197258,2.0048959832818096,0.7913235371332454,0.8244805123542753
air_temperature,1,winter,0-6,2160,2.253762242755851,1.644669213732144,0.4761868313420755,0.4602787062706349
air_temperature,1,winter,12-18,2160,3.604871298075932,2.8140130708155797,0.4636932551721118,0.47999153069959
air_temperature,1,winter,18-24,2160,3.7418934390131335,2.9314190224380043,0.1481642636269436,0.1378744018757518
air_temperature,1,winter,6-12,2160,3.2651471349715013,2.5001101501206264,0.5017814867614729,0.4954527892119722
air_temperature,2,fall,0-6,1954,6.769731915305225,4.745917079587988,0.3150056268768355,0.2998833349899575
air_temperature,2,fall,12-18,1938,7.500402423386102,5.672462655295751,0.4610891494684627,0.4876389678036199
air_temperature,2,fall,18-24,1950,6.967432016016475,5.249770339226876,0.2817181071617176,0.2664528158867758
air_temperature,2,fall,6-12,1939,7.1577040707220325,5.347450676941384,0.4856523490355344,0.5026149850185646
air_temperature,2,spring,0-6,11577,6.802268769115429,4.776860063769605,0.2983301963917274,0.2587293790094841
