site_id,season,n,rmse,mae,rmse_skill_vs_persistence,mae_skill_vs_persistence,target_variable
1,fall,8736,2.794929612451025,2.056200594470643,0.6267431128744174,0.6457689292413877,air_temperature
1,spring,52440,3.450254286735209,2.5721911095811265,0.5348813323866077,0.5510538613809718,air_temperature
1,summer,23232,2.577608856423571,1.8863280340330035,0.7460074495060471,0.7682766477535354,air_temperature
1,winter,8640,3.2686959802230646,2.4725528642765884,0.4174631084554844,0.4117909858246203,air_temperature
2,fall,7781,7.103054852164271,5.252861280498631,0.4093332086359619,0.4119375503657605,air_temperature
2,spring,45958,7.635982259365211,5.664276926292391,0.3859538710836536,0.3938819354874605,air_temperature
2,summer,19789,6.138276598786968,4.685358200194204,0.3959443462000287,0.4158788428128894,air_temperature
2,winter,8308,7.137566725292909,4.777787139551821,0.3502102662126478,0.3379577568228415,air_temperature
3,fall,8544,4.734058318353093,2.807088126850485,0.1867817057422662,0.0971008773543297,discharge
3,spring,52440,26.734881324856342,16.96586196791753,0.0283740785601882,0.0195439097466074,discharge
3,summer,21768,16.45982596343314,8.26946530802992,0.0677425612937463,0.1739533972068919,discharge
3,winter,5976,6.84492365988706,4.268178522347446,0.246094459921471,0.1913148278775502,discharge
4,fall,7728,9.78959213582054,5.655400402921081,0.0526941018037766,0.0124854431290516,discharge
4,spring,52440,26.777407877824395,18.4976601496623,0.0001801392202712,-0.0197246154630601,discharge
4,summer,19488,11.51568941933118,7.550441776981886,0.186468963403412,0.2014584179071455,discharge
4,winter,7896,14.79170065286216,8.920159914814834,0.0435310241961582,0.0353656542500981,discharge
